model,accuracy,precision,recall,f1_score,roc_auc
svm,0.6666666666666666,0.38095238095238093,0.5925925925925926,0.463768115942029,0.7257495590828924
logistic_regression,0.7027027027027027,0.4117647058823529,0.5185185185185185,0.45901639344262296,0.7526455026455026
random_forest,0.6936936936936937,0.3870967741935484,0.4444444444444444,0.41379310344827586,0.7028218694885361
decision_tree,0.7117117117117117,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.6084656084656085
xgb,0.7027027027027027,0.38461538461538464,0.37037037037037035,0.37735849056603776,0.6944444444444444
lgbm,0.6936936936936937,0.36,0.3333333333333333,0.34615384615384615,0.7001763668430335
